-0.2900390625,
0.01318359375,
0.94873046875,
-0.313232421875,
0.02392578125,
0.945068359375,
-0.30615234375,
0.028564453125,
0.951416015625,
-0.29931640625,
0.021728515625,
0.957275390625,
-0.29931640625,
0.017822265625,
0.949951171875,
-0.2958984375,
0.007080078125,
0.946044921875,
-0.30078125,
0.033447265625,
0.960205078125,
-0.31298828125,
0.047607421875,
0.956787109375,
-0.3134765625,
0.026611328125,
0.971923828125,
-0.31005859375,
0.024658203125,
0.956787109375,
-0.32421875,
0.039794921875,
0.945556640625,
-0.31787109375,
0.058837890625,
0.961181640625,
-0.30810546875,
0.040283203125,
0.961181640625,
-0.341796875,
0.003662109375,
0.958740234375,
-0.2919921875,
0.027587890625,
0.954345703125,
-0.2978515625,
-0.001220703125,
0.989013671875,
-0.330078125,
-0.004150390625,
0.960693359375,
-0.3115234375,
0.016845703125,
0.951904296875,
-0.2861328125,
0.010009765625,
0.948486328125,
-0.27685546875,
0.018798828125,
0.945556640625,
